pseudocode,sdmp_plan_yn,struct_safaud_yn,nonstr_safaud_yn,cctv_cam_yn,fire_ext_yn,nodal_tch_yn,safty_trng_yn,dismgmt_taug_yn,slfdef_grt_yn,slfdef_trained,guide_display_yn,tch_first_level_counsellor,safe_sec_audit,teacher_displaying_photo,vidya_pravesh,stu_atndnc_yn,tch_atndnc_yn,sch_youth_club_yn,sch_eco_club_yn,tch_icard_yn,self_cert_obtained_yn
5244079,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
4839267,1,1,1,1,1,1,1,1,1,97,1,1,2,1,1,2,2,1,1,1,1
8056489,1,1,1,2,1,1,1,1,9,0,1,2,2,1,1,2,2,1,1,1,2
5952462,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,2
5338900,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1
5820108,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
2563691,1,1,2,1,1,1,1,1,2,0,1,2,2,1,1,2,2,2,1,1,1
8176661,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
4783419,1,1,2,1,1,1,1,1,9,0,1,1,6,1,1,1,1,1,1,2,2
2008193,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,1
7554424,1,1,1,2,1,1,1,1,9,0,1,2,4,1,1,2,2,1,1,1,2
6338583,1,1,1,2,1,1,1,1,9,0,1,2,1,1,1,2,2,1,1,1,1
5798541,1,1,1,1,1,1,1,1,2,0,1,2,1,1,2,1,1,1,1,1,1
5298970,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
3680229,1,1,1,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
9828408,1,2,2,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
7418666,1,1,1,2,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1
9839827,1,1,1,2,1,1,1,1,9,0,1,1,3,1,1,2,2,1,1,1,1
5412299,1,1,2,1,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
4170046,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,2,1,1,1
4671683,1,1,2,2,1,1,1,1,9,0,1,1,3,1,1,2,2,1,1,1,1
1812555,1,1,1,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
2694686,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7755020,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7037659,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,2,1,1,1
4858615,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
7997760,1,1,2,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
4476556,1,1,1,1,1,1,1,1,2,0,1,1,2,1,1,1,1,1,1,1,1
5061929,1,2,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
1455735,1,1,1,2,1,1,1,1,9,0,1,1,3,1,1,2,2,1,1,1,1
1171873,1,1,1,1,1,1,2,1,2,0,1,1,6,1,2,2,2,1,1,1,1
5154502,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1
4925564,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,2,1,1,1
6989139,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
2449088,1,2,2,2,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,1
4881186,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
3691807,1,1,1,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
5587433,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
8711174,1,1,1,2,1,1,1,1,2,0,1,1,3,1,1,2,2,1,1,1,1
4513176,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,2,2,1,1,1,1
7483795,1,1,1,2,1,1,1,1,1,15,1,1,2,1,1,2,2,1,1,1,1
4286711,1,2,1,2,1,1,1,1,2,0,1,1,2,1,2,2,2,1,1,1,1
7237477,1,2,2,1,1,1,1,1,2,0,1,1,6,1,2,2,3,1,1,1,1
9287557,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
5673460,1,2,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
2169790,1,1,1,2,1,1,1,1,9,0,2,2,4,1,1,2,2,1,1,1,1
9598690,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
6838625,1,1,1,1,1,1,1,1,9,0,1,2,1,1,1,1,2,1,1,1,1
1597799,1,2,2,1,1,1,1,1,9,0,1,2,2,1,1,1,1,1,1,2,2
9161466,1,1,1,2,1,1,2,1,9,0,1,1,1,1,1,2,2,1,1,1,1
3207223,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,2
4961217,1,1,2,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,2
4535130,1,2,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
8047055,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
1514659,1,1,2,1,1,1,1,1,2,0,1,1,2,1,1,1,1,1,1,1,1
3852723,1,1,1,1,1,1,1,1,9,0,1,1,4,1,2,1,1,2,1,1,1
7372694,1,2,1,2,1,1,1,1,9,0,1,2,1,1,1,2,2,1,1,1,1
5673695,1,1,1,1,1,1,1,1,2,0,1,1,4,1,1,1,1,1,1,1,1
3365245,1,2,2,2,1,1,2,1,9,0,1,2,1,1,1,2,2,1,1,1,2
4212264,1,1,1,2,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
1971048,1,2,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
5517584,1,1,1,2,1,1,1,1,2,0,1,1,3,1,1,2,2,1,1,1,1
2754226,1,1,1,2,1,1,1,1,1,58,1,2,2,1,1,2,3,1,1,1,2
6535201,1,1,1,2,1,1,2,1,2,0,1,1,2,1,1,2,2,1,1,1,1
7736458,1,1,2,2,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1
9464867,1,1,1,2,1,1,1,1,2,0,1,1,2,1,1,2,2,1,1,1,1
3372868,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,1
4617546,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
6679895,1,1,1,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
7166331,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
2924137,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
6267198,1,1,1,2,1,1,2,1,9,0,1,1,2,1,1,2,2,1,1,1,1
5628777,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
3543596,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,1
9615461,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,2,1,1,1
7734944,1,1,1,1,1,1,1,1,2,0,1,2,1,1,1,1,1,1,1,1,1
1853022,1,1,1,1,1,1,1,1,9,0,1,1,6,1,1,1,1,2,1,1,1
6996508,1,1,2,1,1,1,1,1,2,0,1,1,1,1,2,2,1,2,1,1,2
2111520,1,1,1,2,1,1,1,1,1,55,1,1,1,1,1,2,2,1,1,1,1
9571818,1,1,1,2,1,1,1,1,1,5,1,2,1,1,1,2,2,1,1,1,1
8740550,1,1,1,1,1,1,1,1,1,19,1,1,3,1,1,2,2,1,1,1,1
9737414,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,2,3,1,1,1,1
3988289,1,1,1,2,1,1,1,1,2,0,1,1,5,1,2,2,2,1,1,2,1
3322563,1,1,2,1,1,1,1,1,1,45,1,1,5,1,1,2,3,1,1,1,1
1965730,1,1,1,2,1,1,1,1,1,131,1,1,2,1,1,2,2,1,1,1,1
2908120,1,2,2,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
9435204,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7696625,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,2
3261200,1,1,1,2,1,1,1,1,9,0,1,2,2,1,1,2,2,2,1,2,2
2195700,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
4268777,1,1,1,2,1,1,1,1,9,0,1,2,6,1,1,2,2,1,1,1,1
4537849,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
4195500,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
8007809,1,2,2,2,1,1,1,1,9,0,1,2,5,1,2,2,2,1,1,1,2
5366325,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,1
9147253,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,1
9922630,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,1
2976903,1,1,1,2,1,1,1,1,9,0,1,1,6,1,2,2,2,2,1,1,2
4900601,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,2
8425690,1,2,1,2,1,1,1,1,9,0,1,2,1,1,1,2,2,1,1,1,1
1503606,1,1,1,2,1,1,2,1,9,0,1,2,6,1,2,2,2,1,1,1,1
8851472,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1
4389180,1,1,1,2,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
9355814,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
2070151,1,1,1,2,1,1,1,1,9,0,1,1,3,1,1,2,2,1,1,1,1
3970909,1,1,2,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,1
2096227,1,2,2,2,1,1,1,1,9,0,1,2,6,1,1,2,2,1,1,1,1
