_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,level_score,rate_score,risk_score,risk_category,anomaly_score,anomaly_label,predicted_discharge_1h,anomaly_severity,forecast_severity,hybrid_hazard_score,hybrid_risk_category,forecast_available
40064,40064,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:45:00,6.68,-0.1800000000000006,0.25,-0.7200000000000024,40,10,28.0,LOW,-0.2987891040397987,NORMAL,,0.0,0,14.0,LOW,False
40065,40065,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:00:00,6.33,-0.3499999999999996,0.25,-1.3999999999999986,40,40,40.0,MODERATE,-0.2870830695880952,NORMAL,,0.0,0,20.0,LOW,False
40067,40067,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:30:00,6.7,0.3700000000000001,0.5,0.7400000000000002,40,10,28.0,LOW,-0.2931016532923207,NORMAL,,0.0,0,14.0,LOW,False
40068,40068,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:45:00,6.56,-0.1400000000000005,0.25,-0.5600000000000023,40,10,28.0,LOW,-0.3052354883087058,NORMAL,,0.0,0,14.0,LOW,False
40069,40069,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:00:00,6.58,0.0200000000000004,0.25,0.0800000000000018,40,10,28.0,LOW,-0.2939559858459058,NORMAL,,0.0,0,14.0,LOW,False
40070,40070,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:15:00,6.64,0.0599999999999996,0.25,0.2399999999999984,40,10,28.0,LOW,-0.2946922162774563,NORMAL,,0.0,0,14.0,LOW,False
40071,40071,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:30:00,6.85,0.2099999999999999,0.25,0.8399999999999999,40,10,28.0,LOW,-0.3007543078236953,NORMAL,,0.0,0,14.0,LOW,False
40072,40072,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:45:00,6.95,0.1000000000000005,0.25,0.4000000000000021,40,10,28.0,LOW,-0.297981688211707,NORMAL,,0.0,0,14.0,LOW,False
40073,40073,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:00:00,6.58,-0.3700000000000001,0.25,-1.4800000000000004,40,40,40.0,MODERATE,-0.287165960135616,NORMAL,,0.0,0,20.0,LOW,False
40074,40074,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:15:00,6.81,0.2299999999999995,0.25,0.9199999999999982,40,10,28.0,LOW,-0.2994504833110224,NORMAL,,0.0,0,14.0,LOW,False
