source_settlement_id,source_settlement,source_district,source_population,relocation_demand,site_id,site_name,site_village,site_district,allocated_people,site_capacity_before,site_capacity_after,safe_site_score,accessibility_score,infrastructure_score,distance_km,distance_score,relocation_score,allocation_status,unallocated_reason
SETTLEMENT_40885,Raini Chak Subhai,57,304,304,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40890,Gurguti,57,295,295,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40835,Pokhani Urf Pokhari,57,289,289,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40875,Bhangyul,57,284,284,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40820,Lyari Thana,57,279,279,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40842,Tangni talli,57,273,273,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40868,Tugasi,57,271,271,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40897,Jalam,57,264,264,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40833,Jakhola,57,237,237,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40895,Farkiagaon,57,232,232,,,,,0,,,,,,,,0.0,UNALLOCATED,SOURCE_COORDINATES_UNAVAILABLE
SETTLEMENT_40887,Bampa,57,226,226,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40867,Kundikhola,57,212,212,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40857,Sukhi,57,205,205,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
