source_settlement_id,source_settlement,source_population_2026_est,destination_site_id,destination_site,destination_village,allocated_people,ai_score,ai_rank,distance_km,site_safe_score,site_accessibility,site_infrastructure,site_capacity_original,site_capacity_remaining_after,destination_latitude,destination_longitude,allocation_status,allocation_reason
SETTLEMENT_40823,Paini,782,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40825,Gaunkh Laga Sailang,18,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40826,Auli Laga Joshimath,352,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40827,Auli Laga Salud Dugra,2,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40828,Salud Dugra,1865,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40829,Dumak,366,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40830,Kalgoth,418,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40831,Uchougaur,54,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40833,Jakhola,237,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40834,Kimana,530,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40835,Pokhani Urf Pokhari,289,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40836,Lanji,201,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40837,Tirosi,51,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40838,Dwing,150,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40839,Tapon,108,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40840,Gulabkoti,419,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40841,Langsi,465,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40842,Tangni talli,273,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40843,Tangni malli,358,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40844,Jalgwar,424,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40845,Pakhi,430,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40846,Marwadi Chak Pakhi,185,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40847,Darmi,112,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40848,Noligwar,132,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40849,Pagnau,460,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40850,Molta,521,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40851,Ganai,530,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40852,Bhalgaon,197,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40853,Longsagari,118,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40855,Pagrasu,66,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40856,Tolma,506,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40857,Sukhi,205,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40858,Kuraipani,33,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40859,Aira,25,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40860,Inara,0,,,,0,,,,,,,0,0,,,UNRESOLVED,SOURCE_COORDINATES_UNAVAILABLE
SETTLEMENT_40861,Khancha talla,15,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40862,Khancha malla,14,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40863,Merag,531,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40864,Bara gaon,933,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40866,Dhak,497,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40867,Kundikhola,212,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40868,Tugasi,271,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40869,Raigari,114,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40870,Karchi,386,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40871,Bilagar,114,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40872,Chamtoli,144,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40873,Topovan,1254,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40874,Gahar,59,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40875,Bhangyul,284,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40876,Karachhon,506,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40877,Badal Gaitha,0,,,,0,,,,,,,0,0,,,UNRESOLVED,SOURCE_COORDINATES_UNAVAILABLE
SETTLEMENT_40878,Juwagwar,70,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40879,Jugaju chak lata,42,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40880,Lata,359,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
