site_id,site_name,site_cluster,village_name,urban_local_body_name,ward_name,block_name,district_name,matched_settlement_id,matched_address,latitude,longitude,coordinate_confidence,coordinate_match_method,school_category_code,school_type_code,total_classrooms,good_classrooms,minor_repair_classrooms,major_repair_classrooms,normal_classroom_capacity,temporary_capacity,available_capacity,building_score,road_score,water_score,electricity_score,land_score,boundary_wall_score,safety_score,accessibility_score,capacity_score,infrastructure_score,facility_suitability_score,safe_site_score,nearest_settlement_id,nearest_settlement_name,nearest_settlement_distance_km,site_status
1890783,Educational Facility,Tharali-Town Panchayat,,Tharali-Town Panchayat,Tharali (NP) - Uper Bazaar Tharali Ward No. 3,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,12,8,2,2,200,100.0,100,66.667,0.0,100.0,100.0,100.0,0.0,66.667,40.0,24.242,85.0,52.727,47.9,,,,LOW_SUITABILITY
2965943,Educational Facility,Khal Kumkhori,Khal Kumkhori,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,2,3,11,11,0,0,275,137.5,138,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333,100.0,83.333,76.67,,,,HIGH_SUITABILITY
6154957,Educational Facility,Jokhana,Jokhana,,,Ghat,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,0.0,100.0,100.0,40.0,6.061,85.0,61.515,46.87,,,,LOW_SUITABILITY
6824113,Educational Facility,Tunji,Tunji,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,0.0,100.0,100.0,40.0,6.061,85.0,61.515,46.87,,,,LOW_SUITABILITY
3874880,Educational Facility,Kandei,Kandei,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,6.061,90.0,61.515,47.62,,,,LOW_SUITABILITY
8741847,Educational Facility,Joshimath-Municipality,,Joshimath-Municipality,Joshimath (MB) - Ravigram Ward No.9,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,12,12,0,0,300,150.0,150,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36.364,100.0,84.091,77.73,,,,HIGH_SUITABILITY
3087264,Educational Facility,Lwanh,Lwanh,,,Dasholi,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,6.061,85.0,76.515,64.87,,,,MEDIUM_SUITABILITY
1294087,Educational Facility,Kola Dungari,Kola Dungari,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.061,90.0,76.515,65.62,,,,MEDIUM_SUITABILITY
2592242,Educational Facility,POKHRI-Town Panchayat,,POKHRI-Town Panchayat,Pokhri (NP) -Pokhri Lower Ward No. 2,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,5,5,0,0,125,62.5,62,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,15.152,90.0,78.788,68.8,,,,MEDIUM_SUITABILITY
9711359,Educational Facility,Pindawali,Pindawali,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,3,0,0,75,37.5,38,100.0,0.0,100.0,100.0,100.0,100.0,100.0,40.0,9.091,100.0,62.273,50.18,,,,MEDIUM_SUITABILITY
7016854,Educational Facility,Dumak,Dumak,,,Joshimath,CHAMOLI,SETTLEMENT_40829,Dumak,30.5072396,79.3831468,MEDIUM,VILLAGE_NAME,1,3,3,2,0,1,50,25.0,25,66.667,0.0,100.0,100.0,100.0,0.0,100.0,40.0,6.061,90.0,51.515,43.62,SETTLEMENT_40829,Dumak,0.0,LOW_SUITABILITY
7405441,Educational Facility,Valli,Valli,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,3,0,0,75,37.5,38,100.0,0.0,100.0,100.0,100.0,100.0,100.0,40.0,9.091,100.0,62.273,50.18,,,,MEDIUM_SUITABILITY
7841035,Educational Facility,Toli Laaga Gailung,Toli Laaga Gailung,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,100.0,100.0,100.0,40.0,6.061,100.0,61.515,49.12,,,,LOW_SUITABILITY
8086157,Educational Facility,Trishula,Trishula,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,3,0,0,75,37.5,38,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,9.091,85.0,77.273,65.93,,,,MEDIUM_SUITABILITY
7055128,Educational Facility,Udaypur Laga Choting,Udaypur Laga Choting,,,Dewal,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,6.061,90.0,61.515,47.62,,,,LOW_SUITABILITY
7524390,Educational Facility,Thirpak,Thirpak,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,6.061,75.0,76.515,63.37,,,,MEDIUM_SUITABILITY
1026198,Educational Facility,Chamola,Chamola,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.061,100.0,76.515,67.12,,,,MEDIUM_SUITABILITY
9650468,Educational Facility,Bangaon Malla,Bangaon Malla,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,6.061,75.0,76.515,63.37,,,,MEDIUM_SUITABILITY
7245067,Educational Facility,Tapon,Tapon,,,Joshimath,CHAMOLI,SETTLEMENT_40839,Tapon,30.494761,79.473569,MEDIUM,VILLAGE_NAME,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.061,90.0,76.515,65.62,SETTLEMENT_40839,Tapon,0.0,MEDIUM_SUITABILITY
6298139,Educational Facility,Sarna,Sarna,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,7,3,3,3,0,0,75,37.5,38,100.0,0.0,100.0,100.0,0.0,100.0,100.0,40.0,9.091,85.0,62.273,47.93,,,,LOW_SUITABILITY
4957986,Educational Facility,Gochar-Municipality,,Gochar-Municipality,Gochar (NP) -Rawalnagar Talla Ward No.2,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,1,11,3,4,4,75,37.5,38,27.273,100.0,100.0,100.0,100.0,0.0,100.0,100.0,9.091,90.0,55.455,57.95,,,,MEDIUM_SUITABILITY
3480324,Educational Facility,Malai,Malai,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,7,7,0,0,175,87.5,88,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,21.212,90.0,65.303,52.92,,,,MEDIUM_SUITABILITY
6238303,Educational Facility,Urgam,Urgam,,,Joshimath,CHAMOLI,SETTLEMENT_40817,Urgam,30.5400882,79.4566318,MEDIUM,VILLAGE_NAME,5,3,10,7,1,2,175,87.5,88,70.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,21.212,90.0,56.303,49.32,SETTLEMENT_40817,Urgam,0.0,LOW_SUITABILITY
3752308,Educational Facility,Silkhola Laga Ichchholi,Silkhola Laga Ichchholi,,,Dewal,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,5,5,0,0,125,62.5,62,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.152,100.0,78.788,70.3,,,,HIGH_SUITABILITY
1610172,Educational Facility,Palwara Laga Odar,Palwara Laga Odar,,,Dewal,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,0.0,100.0,100.0,40.0,6.061,85.0,61.515,46.87,,,,LOW_SUITABILITY
4844563,Educational Facility,Gadauta,Gadauta,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,3,0,0,75,37.5,38,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,9.091,75.0,77.273,64.43,,,,MEDIUM_SUITABILITY
2680102,Educational Facility,Uttari Jhuma Khet,Uttari Jhuma Khet,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.061,90.0,76.515,65.62,,,,MEDIUM_SUITABILITY
